2020-03-14,814
2020-03-14,1033
2020-03-15,1113
2020-03-18,1092
2020-03-21,1022
2020-03-25,1037
2020-03-21,1037
2020-03-28,1033
2020-03-29,950
2020-04-01,1010
2020-04-03,990
2020-04-04,904
2020-04-06,912
2020-04-09,964
2020-04-10,947
2020-04-11,939
2020-04-13,861
2020-04-16,922
2020-04-18,881
2020-04-22,946
2020-04-26,818
2020-04-28,891
2020-05-02,927
2020-05-05,846
2020-05-05,869
2020-05-12,779
2020-05-13,838
2020-05-13,843
2020-05-15,847
2020-05-20,808
2020-05-26,900
2020-05-27,836
2020-06-02,955
2020-06-09,964
2020-06-16,1179
2020-06-22,895
2020-06-25,962
2020-06-27,872
2020-07-02,576
2020-07-02,575
2020-07-05,546
2020-07-06,547
2020-07-13,512
2020-07-18,651
2020-07-24,736
2020-07-29,1576
2020-08-01,1616
2020-08-03,1124
2020-08-06,1599
2020-08-13,1888
2020-08-14,1941
2020-08-15,1876
2020-08-17,1309
2020-08-19,1893
2020-08-25,1567
2020-09-02,1675
2020-09-07,1411
2020-09-14,1609
2020-09-20,1483
2020-09-26,1612
2020-10-03,1579
2020-10-08,1130
2020-10-13,1028
2020-10-14,1242
2020-10-19,1339
2020-10-29,2341
2020-11-01,1564
2020-11-03,1376
2020-11-08,901
2020-11-10,1147
2020-11-14,1083
2020-11-15,1037
2020-11-16,1005
2020-11-19,984
2020-11-22,896
2020-11-25,993
2020-11-28,866
2020-12-02,873
2020-12-09,1076
2020-12-14,889
2020-12-19,888
2020-12-26,938
2020-12-31,1246
2021-01-02,1036
2021-01-05,965
2021-01-12,976
2021-01-17,850
2021-01-22,1179
2021-01-22,1180
2021-01-24,1106
2021-01-31,959
2021-02-02,1118
2021-02-03,1152
2021-02-08,961
2021-02-09,1041
2021-02-14,1028
2021-02-16,982
2021-02-21,1062
2021-02-22,976
2021-02-26,1018
2021-02-28,967
2021-03-06,1079
2021-03-09,1132
2021-03-10,1304
2021-03-16,1131
2021-03-21,971
2021-03-28,1063
2021-03-31,1352
2021-04-04,1177
2021-04-09,1158
2021-04-13,1156
2021-04-19,1259
2021-04-24,1216
2021-04-26,1216
2021-04-26,1216
2021-04-26,1006
2021-04-27,1006
2021-04-29,1430
2021-05-01,1131
2021-05-04,1131
2021-05-05,1141
2021-05-06,1118
2021-05-06,1113
2021-05-06,1112
2021-05-12,1121
2021-05-15,1168
2021-05-17,1343
2021-05-22,1702
2021-05-25,1676
2021-05-31,1237
2021-06-07,1216
2021-06-16,1022
2021-06-22,1252
2021-06-28,1106
2021-07-01,1565
2021-07-04,1701
2021-07-13,1097
2021-07-18,1061
2021-07-19,1059
2021-07-26,1008
2021-07-29,1046
2021-08-02,1003
2021-08-09,1495
2021-08-17,1370
2021-08-20,1441
2021-08-25,1130
2021-08-26,1544
2021-08-30,902
2021-09-02,903
2021-09-06,874
2021-09-07,857
2021-09-12,867
2021-09-17,889
2021-09-24,1455
2021-09-30,939
2021-09-30,952
2021-10-03,910
2021-10-05,1296
2021-10-12,1192
2021-10-14,1467
2021-10-19,1507
2021-10-23,1507
2021-10-23,1507
2021-10-27,1736
2021-11-04,1305
2021-11-11,1184
2021-11-14,1195
2021-11-17,941
2021-11-21,1101
2021-11-29,1064
2021-11-29,1041
2021-12-05,1489
2021-12-09,1825
2021-12-12,1506
2021-12-13,1350
2021-12-16,1386
2021-12-19,1207
2021-12-20,1470
2021-12-25,2025
2021-12-30,1375
2021-12-30,1359
2021-12-30,1353
2022-01-02,1184
2022-01-04,1137
2022-01-07,1106
2022-01-11,1416
2022-01-18,1160
2022-01-19,1429
2022-01-21,1510
2022-01-24,1096
2022-01-28,1173
2022-01-30,1040
2022-01-31,1034
2022-02-01,1186
2022-02-07,1111
2022-02-12,1051
2022-02-13,1043
2022-02-13,1035
2022-02-17,968
2022-02-22,1038
2022-02-26,615
2022-03-06,943
2022-03-07,894
2022-03-09,920
2022-03-12,1017
2022-03-14,1192
2022-03-19,1156
2022-03-24,1209
2022-03-29,1306
2022-03-31,1628
2022-04-05,1129
2022-04-09,1458
2022-04-13,1118
2022-04-18,1086
2022-04-21,1384
2022-04-25,1310
2022-04-29,1543
2022-05-03,1369
2022-05-05,1778
2022-05-10,1315
2022-05-14,1217
2022-05-19,1285
2022-05-25,1141
2022-05-29,1143
2022-05-31,1137
2022-06-02,1077
2022-06-07,1045
2022-06-09,1163
2022-06-09,1164
2022-06-16,1053
2022-06-21,959
2022-06-21,961
2022-06-25,1327
2022-06-29,1335
2022-07-01,1292
2022-07-04,1126
2022-07-13,1099
2022-07-16,1069
2022-07-16,1058
2022-07-18,1088
2022-07-21,1060
2022-07-23,854
2022-07-25,829
2022-07-29,814
